0	中珠控股
1	18.01
2	18.15
3	17.63
4	18.35
5	17.57
6	17.61
7	17.69
8	4139342
9	74345758
10	500
11	17.61
12	8800
13	17.56
14	7400
15	17.55
16	6300
17	17.53
18	5900
19	17.52
20	3235
21	17.69
22	17400
23	17.7
24	15200
25	17.71
26	15000
27	17.72
28	7500
29	17.74
30	2012/9/17
31	15:03:10
32	00";
